"antibiotics exclusion","location","condition","Group 0 sample size","Group 1 sample size","Group 0 name","Group 1 name","Group 1 definition","host species","body_site","sequencing type","16S variable region (lower bound)","16S variable region (upper bound)","sequencing platform","statistical test","LDA Score >","significance threshold","MHT correction","matched on","confounders controlled for","Pielou","Shannon","Chao1","Simpson","Inverse Simpson","Richness","Study","Page Name"
"3 months","China","multiple myeloma","17","40","healthy control","Multiple Myeloma patient","patient diagnosis with multiple myeloma and no other disease validated to affect intestinal microbial including digestive disease like liver cirrhosis, liver cancer, inflammatory bowel disease, and irritable bowel syndrome; systemic disease like diabetes and hypertension and thyroid disease; no treatment including antibiotics, chemotherapy, plasma exchange or bone marrow transplant; no cold, fever or other infections within 3 months before sampling with administrated antibacterial drugs, gastrointestinal motility drugs or micro-ecological conditioning agents like eating and living habit change 1 week before sampling","Homo sapiens","feces","16S","3","4","Illumina","Metastats","","0.05","No","","","","","","","","","Study 276","Experiment 3"
"3 months","China","multiple myeloma","21","21","healthy relatives control","Multiple Myeloma patient","patient diagnosis with multiple myeloma and no other disease validated to affect intestinal microbial including digestive disease like liver cirrhosis, liver cancer, inflammatory bowel disease, and irritable bowel syndrome; systemic disease like diabetes and hypertension and thyroid disease; no treatment including antibiotics, chemotherapy, plasma exchange or bone marrow transplant; no cold, fever or other infections within 3 months before sampling with administrated antibacterial drugs, gastrointestinal motility drugs or micro-ecological conditioning agents like eating and living habit change 1 week before sampling","Homo sapiens","feces","16S","3","4","RT-qPCR","Metastats","","0.05","No","","","","","","","","","Study 276","Experiment 4"
"10 weeks","United States of America","crohn disease","16","13","healthy control","crohn's disease","new-onset adult crohn's disease (CD) patients","Homo sapiens","feces","16S","1","3","Illumina","chi-square","","0.05","No","age, sex","","","decreased","","","","","Study 277","Experiment 1"
"6 monts","Canada","non-alcoholic fatty liver disease","28","39","healthy control","non alcoholic fatty liver disease","biopsy proved steatosis and non alcoholic steatohepatitis","Homo sapiens","feces","16S","","","RT-qPCR","Metastats","","0.05","Yes","","","","","","unchanged","","","Study 278","Experiment 1"
"","United States of America","acute myeloid leukemia","11","28","Low Intensity Chemotherapy","High Intensity Chemotherapy","Acute Myeloid Leukemia patients with receiving low- intensity remission induction chemotherapy","Homo sapiens","mouth","16S","4","","Illumina","ANOVA","","0.05","No","","","","increased","","","","","Study 279","Experiment 1"
"","United States of America","acute myeloid leukemia","30","9","No bacterial infections","bacterial infections","Acute Myeloid Leukemia patients that experience microbiologically defined bacterial infections during remission induction chemotherapy","Homo sapiens","mouth","16S","4","","Illumina","LEfSe","","0.05","Yes","","","","unchanged","unchanged","unchanged","","","Study 279","Experiment 2"
"14 days","United Kingdom","cervical glandular intraepithelial neoplasia","52","92","low grade squamus intraepithelial lesion","high grade squamus intraepithelial lesion","high grade squamus intraepithelial lesion confirmed by histology or cytology","Homo sapiens","posterior fornix of vagina","16S","1","2","Illumina","LEfSe","","0.05","Yes","","","","unchanged","","","unchanged","unchanged","Study 280","Experiment 1"
"","United States of America","acute lymphoblastic leukemia","8","8","Fecal bacterial composition in small intestines of control mice","Fecal bacterial composition in small intestines of leukemia mice","three-week old female mice induced leukemia using lymphomblasts from pediatric acture lymphocytic leukemia patients from ATCC","Mus musculus","small intestine","16S","4","","Illumina","t-test","","0.05","No","","","","unchanged","","","","","Study 281","Experiment 1"
"","China","graft versus host disease","49","32","Grades 0-I (non-acute graft-host disease)","Grades II-IV (acute graft-host-disease)","patients diagnoised with acute graft-versus-host disease (aGVHD)","Homo sapiens","feces","16S","4","","Illumina","LEfSe","","0.05","No","","","","decreased","","","decreased","decreased","Study 282","Experiment 1"
"","China","graft versus host disease","19","13","standard conditioning","intensified conditioning","patients diagnoised with grade II to IV acute graft-versus-host disease (aGVHD) undergoing intense conditioning","Homo sapiens","feces","16S","4","","Illumina","","","0.05","No","","","","","","","increased","","Study 282","Experiment 2"
"","China","graft versus host disease","48","31","no b-lactum antibiotics","b-lactum antibiotics","patients diagnoised with grade II to IV acute graft-versus-host disease (aGVHD) undergoing intense conditioning treated with b-lactum (include carbapenem, cephalosporin, and b-lactam-b-lactamase combinations.)","Homo sapiens","feces","16S","4","","Illumina","","","0.05","No","","","","","","","decreased","","Study 282","Experiment 3"
"","China","graft versus host disease","59","20","no vancomycin antibiotics","vancomycin antibiotics","patients diagnoised with grade II to IV acute graft-versus-host disease (aGVHD) undergoing intense conditioning treated with vancomycin","Homo sapiens","feces","16S","4","","Illumina","","","0.05","No","","","","","","","decreased","","Study 282","Experiment 4"
"30 days","United States of America","human papilloma virus infection","13","26","HPV-","HPV+","HPV+ confirmed using Roche Linear Array HPV Genotyping Test","Homo sapiens","vagina","16S","1","3","Roche454","LEfSe","2","0.05","Yes","","","","","","","","","Study 283","Experiment 1"
"30 days","China","chronic kidney disease","30","30","healthy controls","Chronic kidney disease","chronic kidney disease patients undergoing hemodialysis","Homo sapiens","gingiva","16S","3","4","Illumina","Metastats","","0.05","No","age, sex, smoking behavior","","","decreased","decreased","","","decreased","Study 284","Experiment 1"
"30 days","China","chronic kidney disease","30","30","healthy controls","Chronic kidney disease","chronic kidney disease patients undergoing hemodialysis","Homo sapiens","gingiva","16S","3","5","Illumina","LEfSe","2","0.05","No","age, sex, smoking behavior","","","decreased","decreased","","","decreased","Study 284","Experiment 2"
"30 days","China","chronic kidney disease","30","30","healthy controls","Chronic kidney disease","chronic kidney disease patients undergoing hemodialysis","Homo sapiens","gingiva","16S","3","6","Illumina","LEfSe","2","0.05","No","age, sex, smoking behavior","","","decreased","decreased","","","decreased","Study 284","Experiment 3"
"30 days","China","chronic kidney disease","30","30","healthy controls","Chronic kidney disease","chronic kidney disease patients undergoing hemodialysis","Homo sapiens","gingiva","16S","3","6","Illumina","Mann-Whitney (Wilcoxon)","","0.05","No","age, sex, smoking behavior","","","decreased","decreased","","","decreased","Study 284","Experiment 4"
"2 months","United States of America","multiple sclerosis","16","18","healthy controls","pediatric multiple sclerosis","early pediatric multiple sclerosis","Homo sapiens","feces","16S","4","","Illumina","negative binomial regression","","0.05","Yes","","","","","","","","unchanged","Study 285","Experiment 1"
"2 months","United States of America","multiple sclerosis","9","9","IMD naive cases","IMD exposure multiple sclerosis cases","","Homo sapiens","feces","16S","4","","Illumina","negative binomial regression","","0.05","Yes","","","","","","","","unchanged","Study 285","Experiment 2"
"2 months","United States of America","multiple sclerosis","16","9","healthy controls","IMD naive cases multiple sclerosis","","Homo sapiens","feces","16S","4","","Illumina","negative binomial regression","","0.05","Yes","","","","","","","","unchanged","Study 285","Experiment 3"
"4 weeks","China","graves ophthalmopathy","32","33","healthy controls","graves orbitopathy","severe and active graves' orbitopathy","Homo sapiens","feces","16S","4","","Ion Torrent","Mann-Whitney (Wilcoxon)","","0.05","No","age, sex","","","decreased","unchanged","decreased","","unchanged","Study 286","Experiment 1"
"4 weeks","China","graves ophthalmopathy","32","33","healthy controls","graves orbitopathy","severe and active graves' orbitopathy","Homo sapiens","feces","16S","4","","Ion Torrent","LEfSe","3","0.05","No","age, sex","","","decreased","unchanged","decreased","","unchanged","Study 286","Experiment 2"
"","Costa Rica","human papilloma virus infection","70","33","HPV (clearance)","Visit 1 HPV (progression)","HPV progression to CIN2+ lesion diagnosis","Homo sapiens","uterine cervix","16S","4","","Illumina","LEfSe","2","0.05","No","","","","unchanged","","","","","Study 287","Experiment 1"
"","Costa Rica","human papilloma virus infection","69","33","HPV (clearance)","Visit 2 HPV (progression)","HPV progression to CIN2+ lesion diagnosis","Homo sapiens","uterine cervix","16S","4","","Illumina","LEfSe","2","0.05","No","","","","increased","","","","","Study 287","Experiment 2"
"3 months","Italy","phenylketonuria","21","21","mild hyperphenylalaninemic with unrestricted diet","phenylketonuric with Phe-restricted diet","phenylketonuric patients with restricted (phenylalanine-free) diets","Homo sapiens","feces","16S","2","3","RT-qPCR","Mann-Whitney (Wilcoxon)","","0.05","No","age, sex","","","","","","","","Study 288","Experiment 1"
"2 months","China","health trait","50","50","healthy controls","suboptimal health status","SHSQ-25 (SHS score >= 35)","Homo sapiens","feces","16S","4","","Illumina","LEfSe","2","0.05","No","age, sex, body mass index","","","increased","unchanged","increased","","unchanged","Study 289","Experiment 1"
"","Netherlands","oral mucositis","31","20","no ulcerative oral mucositis","ulcerative oral mucositis","patient developed uclerative oral mucositis","Homo sapiens","mouth","16S","4","","RT-qPCR","LEfSe","2","0.05","No","","","","","","","","","Study 290","Experiment 1"
"","Netherlands","oral mucositis","31","20","one and two weeks after stem cell transplant","pre- and three month after auto stem cell transplant","patient developed uclerative oral mucositis","Homo sapiens","mouth","16S","4","","RT-qPCR","PERMANOVA","","0.05","No","","","","increased","","","","","Study 290","Experiment 2"
"","Netherlands","oral mucositis","31","20","one and two weeks after stem cell transplant","pre- and three month after auto stem cell transplant","patient developed uclerative oral mucositis","Homo sapiens","mouth","16S","4","","RT-qPCR","PERMANOVA","","0.05","No","","","","unchanged","","","","","Study 290","Experiment 3"
"","Netherlands","oral mucositis","31","20","low or no fungi load","0.1% or higher fungi load","patient developed uclerative oral mucositis","Homo sapiens","mouth","16S","4","","RT-qPCR","Mann-Whitney (Wilcoxon)","","0.05","No","","","","","","","","","Study 290","Experiment 4"
"2 months","China","graves disease","11","27","healthy controls","graves disease","graves' disease patients","Homo sapiens","feces","16S","3","4","Illumina","t-test","","0.05","No","age","","","unchanged","decreased","unchanged","","decreased","Study 291","Experiment 1"
"","Japan","graft versus host disease","164","45","community-dwelling","allogeneic-hematopoietic stem cell transplant","patient ages 36-69 years old undergoing allogeneic- hematopoietic stem cell transplantation","Homo sapiens","tongue","16S","1","2","Ion Torrent","Mann-Whitney (Wilcoxon)","","0.05","Yes","age","","","increased","","","","","Study 292","Experiment 1"
"2 weeks","China","human papilloma virus infection","43","90","Baseline HPV-","Baseline HPV+","HPV+ confirmed by HPV assay and genotyping","Homo sapiens","uterine cervix","16S","4","","Illumina","LEfSe","2","0.05","No","","","","unchanged","decreased","unchanged","","unchanged","Study 293","Experiment 1"
